id,origin,lon,lat,site,latloncheck
1525,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1526,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1527,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1528,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1529,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1530,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1531,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1532,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1533,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1534,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1535,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1536,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1537,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1538,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1539,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1540,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1541,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1542,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1543,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1544,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1545,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1546,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1547,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1548,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1549,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1550,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1551,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1552,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1553,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1554,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1555,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1556,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1557,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1558,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1559,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1560,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1561,Belmaker,35.07617,33.04638,Achziv,35.0761733.04638
1562,Belmaker,34.86692,32.41672,Gdor,34.8669232.41672
